ts_utc,symbol,round_id,poll_price,ws_price,price_delta,chain_updated_at,poll_wall_ts,ws_wall_ts,poll_lag_s,ws_lag_s,delta_ms,faster
2026-03-31T09:38:57,SOL,36893488147423038062,81.71,81.71,0.0,1774949935,1774949936.730976,1774949937.0357025,1.731,2.036,304.7,poll
2026-03-31T09:39:00,XRP,36893488147422507784,1.30802,1.30802,0.0,1774949937,1774949940.4150918,1774949939.391247,3.415,2.391,-1023.8,ws
2026-03-31T09:39:02,ETH,55340232221132099657,2024.66878412,2024.66878412,0.0,1774949939,1774949941.4437165,1774949942.2590292,2.444,3.259,815.3,poll
2026-03-31T09:39:13,BTC,55340232221132071727,66387.83416,66387.83416,0.0,1774949949,1774949953.1163216,1774949951.7583046,4.116,2.758,-1358.0,ws
2026-03-31T09:39:34,SOL,36893488147423038063,81.72650437,81.72650437,0.0,1774949969,1774949974.3148816,1774949974.6170583,5.315,5.617,302.2,poll
2026-03-31T09:39:40,XRP,36893488147422507785,1.30873,1.30873,0.0,1774949975,1774949980.1491182,1774949978.8298657,5.149,3.83,-1319.3,ws
2026-03-31T09:39:40,ETH,55340232221132099658,2026.04642742,2026.04642742,0.0,1774949975,1774949978.9170725,1774949980.237215,3.917,5.237,1320.1,poll
2026-03-31T09:39:43,BTC,55340232221132071728,66390.41,66390.41,0.0,1774949981,1774949983.5267327,1774949983.8338091,2.527,2.834,307.1,poll
2026-03-31T09:40:04,SOL,36893488147423038064,81.7848,81.7848,0.0,1774950001,1774950004.6859064,1774950004.8120275,3.686,3.812,126.1,poll
2026-03-31T09:40:09,ETH,55340232221132099659,2026.57843,2026.57843,0.0,1774950005,1774950009.2296925,1774950008.3069413,4.23,3.307,-922.8,ws
2026-03-31T09:40:18,XRP,36893488147422507786,1.30861,1.30861,0.0,1774950015,1774950018.9605932,1774950017.3192322,3.961,2.319,-1641.4,ws
2026-03-31T09:40:37,BTC,55340232221132071729,66404.81826,66404.81826,0.0,1774950025,1774950037.2857845,1774950036.1593142,12.286,11.159,-1126.5,ws
2026-03-31T09:40:44,ETH,55340232221132099660,2027.39,2027.39,0.0,1774950039,1774950044.1546435,1774950042.4068527,5.155,3.407,-1747.8,ws
2026-03-31T09:40:51,SOL,36893488147423038065,81.78664,81.78664,0.0,1774950045,1774950051.0906224,1774950050.3937798,6.091,5.394,-696.8,ws
2026-03-31T09:40:51,XRP,36893488147422507787,1.30843,1.30843,0.0,1774950047,1774950051.9187229,1774950050.6778553,4.919,3.678,-1240.9,ws
2026-03-31T09:41:05,BTC,55340232221132071730,66405.51,66405.51,0.0,1774950059,1774950065.3438468,1774950063.808506,6.344,4.809,-1535.3,ws
2026-03-31T09:41:14,ETH,55340232221132099661,2027.09998316,2027.09998316,0.0,1774950071,1774950074.3549042,1774950074.0480058,3.355,3.048,-306.9,ws
